TimeAKDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br>
9:42 AM,57.0,57.0,100,30.04,1.5,SSW,15.0,20.7,0.36,Rain,Light Rain,200,2015-08-18 17:42:00<br>
9:53 AM,57.0,-9999,N/A,30.04,1.5,SW,17.3,24.2,0.37,Rain,Light Rain,220,2015-08-18 17:53:00<br>
10:16 AM,57.9,57.9,100,30.03,2.0,SW,13.8,-,0.01,Rain,Light Rain,220,2015-08-18 18:16:00<br>
10:30 AM,57.0,57.0,100,30.02,4.0,WSW,16.1,-,0.02,Rain,Light Rain,240,2015-08-18 18:30:00<br>
10:41 AM,57.0,57.0,100,30.02,9.0,SW,11.5,-,0.02,Rain,Light Rain,230,2015-08-18 18:41:00<br>
10:53 AM,57.0,57.0,100,30.03,7.0,WSW,11.5,-,0.02,,Overcast,240,2015-08-18 18:53:00<br>
11:24 AM,57.0,57.0,100,30.03,4.0,WSW,15.0,21.9,0.00,Rain,Light Rain,240,2015-08-18 19:24:00<br>
11:43 AM,57.0,57.0,100,30.03,9.0,SW,10.4,-,0.00,,Overcast,230,2015-08-18 19:43:00<br>
11:53 AM,57.0,57.0,100,30.03,10.0,SW,10.4,-,0.00,,Overcast,220,2015-08-18 19:53:00<br>
12:18 PM,57.0,57.0,100,30.03,8.0,SW,17.3,-,N/A,,Overcast,230,2015-08-18 20:18:00<br>
12:43 PM,55.9,55.9,100,30.04,7.0,WSW,11.5,-,0.00,Rain,Light Rain,240,2015-08-18 20:43:00<br>
12:53 PM,55.9,55.9,100,30.05,10.0,WSW,10.4,-,0.00,,Overcast,240,2015-08-18 20:53:00<br>
1:53 PM,55.9,55.9,100,30.06,6.0,SW,12.7,-,0.00,Rain,Light Rain,230,2015-08-18 21:53:00<br>
2:13 PM,55.9,55.9,100,30.06,9.0,WSW,12.7,19.6,0.00,,Overcast,250,2015-08-18 22:13:00<br>
2:20 PM,55.9,55.9,100,30.06,6.0,SW,16.1,-,0.00,Rain,Light Rain,230,2015-08-18 22:20:00<br>
2:53 PM,55.9,55.9,100,30.06,6.0,SW,11.5,-,0.00,,Overcast,230,2015-08-18 22:53:00<br>
3:33 PM,55.9,55.9,100,30.05,3.0,SW,11.5,-,0.00,Rain,Light Rain,230,2015-08-18 23:33:00<br>
3:53 PM,55.9,55.9,100,30.05,3.0,SW,10.4,-,0.00,Rain,Light Rain,220,2015-08-18 23:53:00<br>
4:10 PM,55.9,55.9,100,30.04,8.0,WSW,11.5,-,0.00,,Overcast,240,2015-08-19 00:10:00<br>
4:53 PM,55.0,55.0,100,30.04,10.0,WSW,11.5,-,0.00,,Overcast,250,2015-08-19 00:53:00<br>
5:51 PM,55.4,55.4,100,30.04,8.0,WSW,6.9,-,N/A,,Overcast,240,2015-08-19 01:51:00<br>
5:53 PM,55.9,55.9,100,30.04,8.0,WSW,8.1,-,N/A,,Overcast,250,2015-08-19 01:53:00<br>
6:00 PM,55.9,55.9,100,30.04,10.0,WSW,9.2,-,N/A,,Overcast,250,2015-08-19 02:00:00<br>
6:53 PM,54.0,54.0,100,30.03,3.0,SW,16.1,-,0.01,Rain,Light Rain,230,2015-08-19 02:53:00<br>
7:00 PM,54.0,54.0,100,30.03,3.0,WSW,12.7,-,0.00,Rain,Light Rain,240,2015-08-19 03:00:00<br>
7:53 PM,55.0,55.0,100,30.03,8.0,WSW,6.9,-,0.00,,Overcast,240,2015-08-19 03:53:00<br>
8:14 PM,55.0,55.0,100,30.03,7.0,SW,8.1,-,N/A,,Overcast,220,2015-08-19 04:14:00<br>
8:40 PM,55.0,55.0,100,30.03,3.0,West,12.7,-,0.01,Rain,Light Rain,260,2015-08-19 04:40:00<br>
8:53 PM,55.0,55.0,100,30.04,9.0,West,12.7,-,0.01,Rain,Light Rain,270,2015-08-19 04:53:00<br>
9:51 PM,53.6,53.6,100,30.04,8.0,WSW,4.6,-,0.00,Rain,Light Rain,240,2015-08-19 05:51:00<br>
9:53 PM,54.0,54.0,100,30.04,8.0,WSW,4.6,-,0.00,Rain,Light Rain,240,2015-08-19 05:53:00<br>
10:16 PM,54.0,54.0,100,30.04,2.5,WSW,6.9,-,0.02,Rain,Light Rain,240,2015-08-19 06:16:00<br>
10:21 PM,54.0,54.0,100,30.04,2.5,WSW,6.9,-,0.02,Rain,Light Rain,240,2015-08-19 06:21:00<br>
10:29 PM,54.0,54.0,100,30.05,5.0,WSW,5.8,-,0.02,Rain,Light Rain,240,2015-08-19 06:29:00<br>
10:53 PM,54.0,-9999,N/A,30.05,8.0,Calm,Calm,-,0.03,,Overcast,0,2015-08-19 06:53:00<br>
11:03 PM,54.0,54.0,100,30.05,10.0,Calm,Calm,-,N/A,,Overcast,0,2015-08-19 07:03:00<br>
11:14 PM,54.0,54.0,100,30.06,5.0,Calm,Calm,-,0.00,Rain,Light Rain,0,2015-08-19 07:14:00<br>
11:49 PM,53.6,53.6,100,30.05,10.0,Calm,Calm,-,0.01,,Overcast,0,2015-08-19 07:49:00<br>
11:53 PM,54.0,54.0,100,30.06,10.0,Calm,Calm,-,0.01,,Overcast,0,2015-08-19 07:53:00<br>
